,ppr
198,324.5427135678392
199,324.535
200,324.5074626865672
201,324.480198019802
202,324.38916256157637
203,324.2549019607843
204,324.2682926829268
205,324.0873786407767
206,324.0096618357488
207,323.9375
208,323.74162679425837
209,323.64761904761906
210,323.563981042654
211,323.4811320754717
212,323.46948356807513
213,323.5981308411215
214,323.51162790697674
215,323.4675925925926
216,323.38709677419354
217,323.3256880733945
218,323.17351598173514
219,323.0181818181818
220,322.9819004524887
221,322.8873873873874
222,322.8116591928251
223,322.61160714285717
224,322.48
225,322.37168141592923
226,322.26431718061673
227,322.12280701754383
228,322.10480349344977
229,322.02608695652174
230,321.86580086580085
231,321.7758620689655
232,321.59656652360513
233,321.3290598290598
234,321.2425531914894
235,321.2669491525424
236,321.1518987341772
237,320.9873949579832
238,320.8033472803347
239,320.625
240,320.3402489626556
241,319.9876033057851
242,319.85185185185185
243,319.7663934426229
244,319.75102040816324
245,319.6382113821138
246,319.4493927125506
247,319.3790322580645
248,319.34939759036143
249,319.336
250,319.199203187251
251,319.01984126984127
252,318.85770750988144
253,318.65354330708664
254,318.6392156862745
255,318.5390625
256,318.3307392996109
257,318.22868217054264
258,318.0694980694981
259,318.07307692307694
260,317.8888888888889
261,317.77862595419845
262,317.51330798479086
263,316.875
264,316.1811320754717
265,315.4135338345865
266,314.6741573033708
267,313.9365671641791
268,313.30111524163567
269,312.65956160241876
270,312.01197379320735
271,311.358418367347
272,310.6989609030426
273,310.033666021153
274,309.36259740259743
275,308.685817805383
276,308.0033890812643
277,307.3153721920423
278,306.62182722551387
279,305.9228134110787
280,305.2183891350134
281,304.5086119554205
282,303.79353861686013
283,303.07322506467375
284,302.34772645900466
285,301.6170971885258
286,300.88139088387965
287,300.140660430839
288,299.39495798319325
289,298.6443349753695
290,297.88884213479207
291,297.1285294939894
292,296.36344640245176
293,295.59364153824794
294,294.8191629194051
295,294.0400579150579
296,293.25637325637325
297,292.4681550472538
298,291.67544877482766
299,290.8782993197279
300,290.0767509661672
301,289.2708474118124
302,288.46063177746345
303,287.6461466165414
304,286.8274339243894
305,286.0045351473923
306,285.18367346938777
307,284.36197985687784
308,283.53616009510597
309,282.70625411454904
310,281.8723013321084
311,281.03434065934067
312,280.19241051053007
313,279.34654881060703
314,278.49679300291547
315,277.6431800568329
316,276.97012811433723
317,276.3102297522783
318,275.6478152389483
319,275.0235331632653
320,274.39404920846846
321,273.7768411712511
322,273.1822202565237
323,272.5822625346435
324,271.9770172684458
325,271.36653311631403
326,270.7508581414217
327,270.1300398208064
328,269.50412505427704
329,268.8753246753247
330,268.2481657315494
331,267.61790017211706
332,266.98952013237727
333,266.3561652205792
334,265.71787998781605
335,265.0758624878523
336,264.4365045721553
337,263.7922956164714
338,263.14327855035816
339,262.48991596638655
340,261.8399664851278
341,261.19131161236425
342,260.5404295829119
343,259.8848481252966
344,259.2246081041112
345,258.5649994101687
346,257.91178027406926
347,257.26290171240913
348,256.6117186129466
349,256.40285714285716
350,256.32763532763533
351,256.3181818181818
352,256.2662889518414
353,256.2683615819209
354,256.25070422535214
355,256.1657303370786
356,256.0560224089636
357,256.00837988826817
358,255.98050139275767
359,255.86388888888888
360,255.6897506925208
361,255.61325966850828
362,255.60881542699724
363,255.57417582417582
364,255.4794520547945
365,255.41256830601094
366,255.39782016348775
367,255.41304347826087
368,255.3821138211382
369,255.3054054054054
370,255.30727762803235
371,255.31451612903226
372,255.26541554959786
373,255.17379679144386
374,255.17066666666668
375,255.1781914893617
376,255.10875331564986
377,255.03703703703704
378,255.02374670184696
379,254.97368421052633
380,254.88451443569554
381,254.87696335078533
382,254.83812010443864
383,254.70833333333334
384,254.7064935064935
385,254.63989637305698
386,254.55297157622738
387,254.64175257731958
388,254.62467866323908
389,254.59230769230768
390,254.70332480818414
391,254.73214285714286
392,254.74300254452928
393,254.75888324873097
394,254.726582278481
395,254.7651515151515
396,254.64735516372795
397,254.5502512562814
398,254.40852130325814
399,254.255
400,254.15461346633415
401,253.9179104477612
402,253.71712158808933
403,253.45792079207922
404,253.21481481481482
405,252.95812807881774
406,252.66339066339066
407,252.3186274509804
408,251.99022004889974
409,251.6609756097561
410,251.39659367396592
411,251.12641172974045
412,250.8504719078915
413,250.56881593216997
414,250.28148512417016
415,249.98852040816325
416,249.6899623158616
417,249.38585099111413
418,249.0762261945351
419,248.76112730806608
420,248.44059333947357
421,248.1146629267821
422,247.78578665508758
423,247.45605506353485
424,247.12100840336137
425,246.78255245760275
426,246.45065239210442
427,246.1134846461949
428,245.77108605680033
429,245.4234931181775
430,245.0707419858895
431,244.7128684807256
432,244.34990809256726
433,243.98189598420012
434,243.6088669950739
435,243.23591087811272
436,242.85961798907206
437,242.4783803932532
438,242.09223188136303
439,241.70120593692022
440,241.3053357397381
441,240.9064548896482
442,240.5206615377528
443,240.14984372127228
444,239.77413437285028
445,239.39356639516794
446,239.01460987079395
447,238.63092201166182
448,238.2424435252943
449,237.84920634920636
450,237.45124213765328
451,237.0485822647643
452,236.96026490066225
453,236.94713656387665
454,236.99120879120878
455,236.9780701754386
456,237.04157549234137
457,237.05021834061137
458,237.15686274509804
459,237.1695652173913
460,237.22776572668113
461,237.26839826839827
462,237.2548596112311
463,237.26077586206895
464,237.29032258064515
465,237.29184549356222
466,237.33618843683084
467,237.3803418803419
468,237.35394456289978
469,237.3127659574468
470,237.36942675159236
471,237.30084745762713
472,237.30655391120507
473,237.25316455696202
474,237.22947368421052
475,237.1344537815126
476,237.083857442348
477,237.01046025104603
478,237.0438413361169
479,237.0125
480,236.95841995841997
481,236.948132780083
482,236.85507246376812
483,236.81404958677686
484,236.75463917525772
485,236.78395061728395
486,236.78234086242298
487,236.84631147540983
488,236.82617586912065
489,236.89183673469387
490,236.86150712830957
491,236.8861788617886
492,236.80933062880325
493,236.76315789473685
494,236.65858585858587
495,236.51209677419354
496,236.45875251509054
497,236.34337349397592
498,236.2124248496994
499,236.12
500,236.03592814371257
501,235.8824701195219
502,235.727634194831
503,235.60119047619048
504,235.48910891089108
505,235.3675889328063
506,235.20907297830374
507,235.13582677165354
508,235.0392927308448
509,234.93529411764706
510,234.79647749510764
511,234.642578125
512,234.4795321637427
513,234.32101167315176
514,234.1766990291262
515,234.01162790697674
516,233.83558994197293
517,233.67181467181467
518,233.47784200385357
519,233.28269230769232
520,233.08637236084454
521,232.85632183908046
522,232.63479923518165
523,232.45244586384172
524,232.2709426627794
525,232.08458136106154
526,231.89466754443714
527,231.70419758812616
528,231.513830484935
529,231.31929149018097
530,231.1199892386333
531,230.9159505907626
532,230.70720220546005
533,230.49377054192462
534,230.27568186152968
535,230.05836886993603
536,229.85277239387375
537,229.64684014869889
538,229.4712430426716
539,229.3111111111111
540,229.15896487985214
541,229.0110701107011
542,228.86003683241253
543,228.7058823529412
544,228.54311926605504
545,228.39743589743588
546,228.2595978062157
547,228.1478102189781
548,228.08743169398906
549,228.0218181818182
550,227.9709618874773
551,227.82971014492753
552,227.73236889692586
553,227.64259927797835
554,227.52972972972972
555,227.3884892086331
556,227.262118491921
557,227.12724014336916
558,226.98747763864043
559,226.81964285714287
560,226.64527629233513
561,226.48220640569394
562,226.31616341030195
563,226.13652482269504
564,225.94513274336282
565,225.7707507031081
566,225.60932944606415
567,225.44333860304687
568,225.27811054122878
569,225.118403150734
570,224.95414417956326
571,224.78535749964323
572,224.6120668162553
573,224.43852663016426
574,224.2613664596273
575,224.0797548185941
576,223.89590775651683
577,223.71269684344327
578,223.527933453174
579,223.3387755102041
580,223.1452457058555
581,222.94736657549618
582,222.7451604998775
583,222.55049622588763
584,222.3596371882086
585,222.16444939750644
586,221.96495497688002
587,221.761175898931
588,221.55313398704132
589,221.34085091663786
590,221.21489001692046
591,221.3581081081081
592,221.48397976391232
593,221.65993265993265
594,221.85714285714286
595,222.03187919463087
596,222.20938023450586
597,222.38628762541805
598,222.5525876460768
599,222.725
600,222.90016638935109
601,223.0747508305648
602,223.24543946932008
603,223.41556291390728
604,223.57685950413224
605,223.73597359735973
606,223.88138385502472
607,224.02631578947367
608,224.14449917898193
609,224.25081967213114
610,224.35679214402617
611,224.45424836601308
612,224.55301794453507
613,224.64169381107493
614,224.730081300813
615,224.8068181818182
616,224.8573743922204
617,224.91423948220066
618,224.91760904684975
619,224.89032258064515
620,224.85507246376812
621,224.7861736334405
622,224.7191011235955
623,224.67147435897436
624,224.624
625,224.56549520766774
626,224.50558213716107
627,224.46337579617835
628,224.45151033386327
629,224.44444444444446
630,224.41362916006338
631,224.40348101265823
632,224.41074249605055
633,224.43848580441642
634,224.46614173228346
635,224.48427672955975
636,224.49764521193092
637,224.4717868338558
638,224.4381846635368
639,224.40625
640,224.41029641185648
641,224.4532710280374
642,224.47433903576982
643,224.48136645962734
644,224.49147286821704
645,224.4752321981424
646,224.49304482225656
647,224.53240740740742
648,224.57473035439136
649,224.62153846153845
650,224.69124423963135
651,224.74539877300614
652,224.8928024502297
653,225.0382262996942
654,225.19541984732825
655,225.34146341463415
656,225.48097412480973
657,225.58814589665653
658,225.69044006069802
659,225.79242424242423
660,225.88048411497732
661,225.9607250755287
662,226.04072398190044
663,226.09638554216866
664,226.12932330827067
665,226.12312312312312
666,225.96101949025487
667,225.79790419161677
668,225.70254110612856
669,225.6820895522388
670,225.73919523099852
671,225.79464285714286
672,225.77860326894503
673,225.75370919881306
674,225.7037037037037
675,225.62278106508876
676,225.4992614475628
677,225.3849557522124
678,225.28865979381445
679,225.21323529411765
680,225.13950073421438
681,225.04985337243403
682,224.96339677891655
683,224.86111111111111
684,224.76788321167882
685,224.69241982507288
686,224.63755458515283
687,224.59593023255815
688,224.52685050798257
689,224.39420289855073
690,224.24167872648337
691,224.09682080924856
692,223.97691197691196
693,223.84582132564842
694,223.69496402877698
695,223.51867816091954
696,223.3428981348637
697,223.25501432664757
698,223.26323319027182
699,223.26857142857142
700,223.26248216833096
701,223.21652421652422
702,223.17069701280226
703,223.12073863636363
704,223.06524822695036
705,222.9844192634561
706,222.9137199434229
707,222.89124293785312
708,222.85331452750353
709,222.79577464788733
710,222.73699015471166
711,222.68539325842696
712,222.6507713884993
713,222.6232492997199
714,222.6125874125874
715,222.59357541899442
716,222.55230125523013
717,222.516713091922
718,222.4798331015299
719,222.425
720,222.35922330097088
721,222.3102493074792
722,222.2780082987552
723,222.24447513812154
724,222.26068965517243
725,222.29889807162533
726,222.33700137551583
727,222.35164835164835
728,222.36625514403292
729,222.3972602739726
730,222.41176470588235
731,222.51092896174865
732,222.62892223738064
733,222.7615803814714
734,222.91564625850341
735,223.04347826086956
736,223.13839891451832
737,223.2330623306233
738,223.31529093369417
739,223.36891891891892
740,223.4021592442645
741,223.40026954177898
742,223.3364737550471
743,223.16129032258064
744,223.03355704697987
745,223.01876675603216
746,223.07362784471218
747,223.12700534759358
748,223.11615487316422
749,223.09733333333332
750,223.0559254327563
751,222.99335106382978
752,222.9243027888446
753,222.81697612732094
754,222.71788079470198
755,222.63492063492063
756,222.57067371202115
757,222.5079155672823
758,222.4308300395257
759,222.35657894736843
760,222.26806833114324
761,222.18766404199476
762,222.13761467889907
763,222.10340314136127
764,222.04444444444445
765,221.98433420365535
766,221.86831812255542
767,221.734375
768,221.56306892067622
769,221.47142857142856
770,221.44747081712063
771,221.41968911917098
772,221.3699870633894
773,221.30878552971575
774,221.25806451612902
775,221.18943298969072
776,221.1055341055341
777,221.03084832904884
778,220.95250320924262
779,220.87435897435898
780,220.809218950064
781,220.74808184143222
782,220.7177522349936
783,220.69005102040816
784,220.6687898089172
785,220.61959287531806
786,220.56162642947905
787,220.5215736040609
788,220.47782002534854
789,220.4025316455696
790,220.39570164348925
791,220.38131313131314
792,220.34678436317782
793,220.31738035264485
794,220.28679245283018
795,220.2424623115578
796,220.20828105395233
797,220.15413533834587
798,220.1151439299124
799,220.0875
800,220.10486891385767
801,220.14214463840398
802,220.17932752179328
803,220.1952736318408
804,220.2111801242236
805,220.24193548387098
806,220.25774473358118
807,220.25371287128712
808,220.24969097651422
809,220.2530864197531
810,220.27373612823675
811,220.27339901477833
812,220.27060270602706
813,220.25429975429975
814,220.21717791411044
815,220.17156862745097
816,220.13341493268055
817,220.0794621026895
818,220.00488400488402
819,219.90365853658537
820,219.78928136419
821,219.6934306569343
822,219.63912515188335
823,219.63106796116506
824,219.61212121212122
825,219.59322033898306
826,219.58282950423217
827,219.57487922705315
828,219.5416164053076
829,219.53132530120482
830,219.54031287605295
831,219.56009615384616
832,219.57623049219688
833,219.55755395683454
834,219.5437125748503
835,219.52511961722487
836,219.53763440860214
837,219.57040572792363
838,219.62455303933254
839,219.66904761904763
840,219.68014268727705
841,219.67102137767222
842,219.6370106761566
843,219.5888625592417
844,219.53727810650886
845,219.50118203309694
846,219.48170011806374
847,219.45872641509433
848,219.4157832744405
849,219.36470588235295
850,219.31844888366626
851,219.26760563380282
852,219.20750293083236
853,219.13348946135832
854,219.06783625730995
855,218.99883177570092
856,218.92998833138856
857,218.87296037296036
858,218.84400465657743
859,218.82093023255814
860,218.80371660859467
861,218.76102088167053
862,218.71147161066048
863,218.67592592592592
864,218.63815028901735
865,218.58891454965357
866,218.5121107266436
867,218.4573732718894
868,218.45799769850402
869,218.46206896551723
870,218.45924225028702
871,218.4380733944954
872,218.40893470790377
873,218.36155606407323
874,218.31428571428572
875,218.28196347031962
876,218.24743443557583
877,218.22095671981776
878,218.1899886234357
879,218.16136363636363
880,218.12485811577753
881,218.09637188208617
882,218.06795016987542
883,218.05203619909503
884,218.03954802259886
885,218.02595936794583
886,217.98196166854567
887,217.9346846846847
888,217.86164229471316
889,217.76292134831462
890,217.66442199775534
891,217.55941704035874
892,217.46360582306832
893,217.36800894854585
894,217.31843575418995
895,217.26674107142858
896,217.21516164994426
897,217.1347438752784
898,217.0111234705228
899,216.86444444444444
900,216.71587125416204
901,216.56430155210643
902,216.40974529346622
903,216.2632743362832
904,216.11602209944752
905,215.96578366445917
906,215.81256890848954
907,215.65198237885463
908,215.4928492849285
909,215.37032967032968
910,215.2502744237102
911,215.13377192982455
912,215.03395399780942
913,214.9507658643326
914,214.87322404371585
915,214.81004366812226
916,214.76772082878952
917,214.74291938997823
918,214.72252448313384
919,214.69347826086957
920,214.66232356134637
921,214.63882863340564
922,214.61430119176597
923,214.57359307359306
924,214.53405405405405
925,214.4924406047516
926,214.44768069039912
927,214.39870689655172
928,214.35199138858988
929,214.31182795698925
930,214.28893662728248
931,214.2725321888412
932,214.2411575562701
933,214.2098501070664
934,214.18823529411765
935,214.16666666666666
936,214.16221985058698
937,214.1631130063966
938,214.16719914802982
939,214.14361702127658
940,214.10626992561106
941,214.06581740976645
942,214.00742311770944
943,213.96186440677965
944,213.91746031746032
945,213.89323467230443
946,213.86589229144667
947,213.83755274261603
948,213.7976817702845
949,213.72105263157894
950,213.6298633017876
951,213.53991596638656
952,213.44281217208814
953,213.3490566037736
954,213.25340314136125
955,213.1558577405858
956,213.0909090909091
957,213.02609603340292
958,212.96976016684047
959,212.88229166666667
960,212.7825182101977
961,212.67359667359668
962,212.56905503634476
963,212.4875518672199
964,212.4124352331606
965,212.33747412008282
966,212.2699069286453
967,212.19834710743802
968,212.13209494324045
969,212.07319587628865
970,212.0020597322348
971,211.90637860082305
972,211.8098663926002
973,211.71457905544148
974,211.64923076923077
975,211.62704918032787
976,211.6305015353122
977,211.64314928425358
978,211.67313585291114
979,211.69897959183675
980,211.7217125382263
981,211.71486761710796
982,211.67853509664292
983,211.59959349593495
984,211.54517766497463
985,211.5496957403651
986,211.54913880445795
987,211.51315789473685
988,211.47320525783618
989,211.42424242424244
990,211.4167507568113
991,211.4304435483871
992,211.4370594159114
993,211.42555331991952
994,211.39698492462313
995,211.36144578313252
996,211.3380140421264
997,211.34569138276552
998,211.37137137137137
999,211.453
1000,211.5204795204795
1001,211.54790419161677
1002,211.51246261216352
1003,211.45517928286853
1004,211.4049751243781
1005,211.3817097415507
1006,211.36544190665342
1007,211.3501984126984
1008,211.33894945490584
1009,211.32277227722773
1010,211.30662710187931
1011,211.27173913043478
1012,211.15498519249752
1013,211.03846153846155
1014,210.86009852216748
1015,210.75885826771653
1016,210.64306784660766
1017,210.52750491159136
1018,210.32090284592738
1019,210.12745098039215
1020,210.00587659157688
1021,209.8003913894325
1022,209.6080156402737
1023,209.419921875
1024,209.21560975609756
1025,209.01364522417154
1026,208.81206293706296
1027,208.61086177927132
1028,208.41004063963248
1029,208.20959841129743
1030,208.00953399171146
1031,207.80984628259336
1032,207.61053418991463
1033,207.41159662387903
1034,207.21303249890207
1035,207.01484073359075
1036,206.81702025072323
1037,206.61956997722893
1038,206.42248884416836
1039,206.22577578671329
1040,206.02942974412713
1041,205.83344965974524
1042,205.63783448095526
1043,205.44258315917799
1044,205.24769464984777
1045,205.05316791239355
1046,204.8590019102197
1047,204.66519561068702
1048,204.47174798509403
1049,204.278658008658
1050,204.0859246604965
1051,204.0380228136882
1052,204.04463437796772
1053,204.03889943074003
1054,204.0218009478673
1055,204.0
1056,203.96310312204352
1057,203.9196597353497
1058,203.8611898016997
1059,203.79056603773586
1060,203.71159283694627
1061,203.61581920903956
1062,203.5258701787394
1063,203.40413533834587
1064,203.41596244131455
1065,203.4202626641651
1066,203.23242736644798
1067,203.0421348314607
1068,203.03274087932647
1069,203.02056074766355
1070,203.00840336134453
1071,202.99253731343285
1072,202.96924510717614
1073,202.94227188081936
1074,202.9125581395349
1075,202.90799256505576
1076,202.90343546889508
1077,202.9313543599258
1078,202.9870250231696
1079,203.02592592592592
1080,203.06660499537466
1081,203.08687615526802
1082,203.09141274238226
1083,203.09225092250924
1084,202.94562211981568
1085,202.97421731123387
1086,203.0588776448942
1087,203.1378676470588
1088,203.1864095500459
1089,203.25412844036697
1090,203.29605866177818
1091,203.30586080586082
1092,203.31015553522414
1093,203.31170018281534
1094,203.31598173515982
1095,203.30383211678833
1096,203.28714676390155
1097,203.26138433515482
1098,203.21292083712467
1099,203.16636363636363
1100,203.11534968210717
1101,203.06442831215972
1102,203.01359927470534
1103,202.98097826086956
1104,202.93665158371041
1105,202.90777576853526
1106,202.88979223125565
1107,202.8691335740072
1108,202.8458070333634
1109,202.82162162162163
1110,202.81638163816382
1111,202.8111510791367
1112,202.79065588499552
1113,202.7666068222621
1114,202.73363228699552
1115,202.7921146953405
1116,202.80304386750223
1117,202.80769230769232
1118,202.71224307417336
1119,202.63660714285714
1120,202.73416592328277
1121,202.82085561497325
1122,202.84238646482635
1123,202.84697508896798
1124,202.848
1125,202.84547069271758
1126,202.8500443655723
